full_name,email,phone,department,job_title
Lucas Dupont,lucas.dupont@company.com,0603914549,Executive Office,Network Engineer
Yanis Benali,yanis.benali@company.com,0665359322,Production       ,Production Technician I
Yanis Benali,yanis.benali@company.com,0641373083,Production       ,Production Technician II
Yanis Martin,yanis.martin@company.com,0693142830,Production       ,Production Technician I
Yanis Leroy,yanis.leroy@company.com,0695501352,Production       ,Production Technician I
Nina Martin,nina.martin@company.com,0678666429,Production       ,Production Technician II
Nina Durand,nina.durand@company.com,0678882945,Production       ,Production Technician I
Sophie Leroy,sophie.leroy@company.com,0612503266,Admin Offices,Senior BI Developer
Lucas Benali,lucas.benali@company.com,0674133251,Production       ,Production Technician II
Karim Benali,karim.benali@company.com,0629104542,Production       ,Production Technician I
Sophie Benali,sophie.benali@company.com,0625771777,Sales,Area Sales Manager
Lucas Dupont,lucas.dupont@company.com,0663617743,Production       ,Production Technician I
Lucas Martin,lucas.martin@company.com,0605092267,IT/IS,IT Director
Sophie Durand,sophie.durand@company.com,0697586795,Production       ,Production Technician II
Emma Dupont,emma.dupont@company.com,0647857992,Production       ,Production Technician I
Nina Martin,nina.martin@company.com,0663913427,Production       ,Production Technician I
Nina Benali,nina.benali@company.com,0610445483,Production       ,Production Technician I
Sophie Dupont,sophie.dupont@company.com,0611496425,Production       ,Production Technician I
Karim Benali,karim.benali@company.com,0617335790,Software Engineering,Software Engineer
Nina Leroy,nina.leroy@company.com,0676316798,Production       ,Production Technician I
Lucas Durand,lucas.durand@company.com,0636752870,Production       ,Production Technician I
Sophie Benali,sophie.benali@company.com,0648738443,Production       ,Production Technician I
Emma Dupont,emma.dupont@company.com,0681847077,Production       ,Production Technician II
Nina Leroy,nina.leroy@company.com,0687112691,Production       ,Production Technician I
Yanis Benali,yanis.benali@company.com,0698062900,Production       ,Production Manager
Emma Martin,emma.martin@company.com,0655950538,Production       ,Production Technician I
Sophie Martin,sophie.martin@company.com,0668648471,Production       ,Production Technician I
Sophie Dupont,sophie.dupont@company.com,0621017644,Sales,Area Sales Manager
Lucas Durand,lucas.durand@company.com,0629097204,IT/IS,BI Director
Lucas Martin,lucas.martin@company.com,0674174916,Sales,Area Sales Manager
Lucas Martin,lucas.martin@company.com,0663382469,Production       ,Production Technician I
Emma Durand,emma.durand@company.com,0645196339,Production       ,Production Technician I
Nina Martin,nina.martin@company.com,0651832099,Production       ,Production Technician I
Sophie Dupont,sophie.dupont@company.com,0659770523,IT/IS,Director of Operations
Karim Durand,karim.durand@company.com,0645472048,Production       ,Production Technician I
Lucas Durand,lucas.durand@company.com,0616245606,Production       ,Production Technician II
Lucas Dupont,lucas.dupont@company.com,0641931603,IT/IS,BI Developer
Yanis Leroy,yanis.leroy@company.com,0602455171,Production       ,Production Technician II
Lucas Durand,lucas.durand@company.com,0695000775,IT/IS,IT Manager - Support
Karim Leroy,karim.leroy@company.com,0660977530,Production       ,Production Technician I
Sophie Benali,sophie.benali@company.com,0620212089,Admin Offices,Sr. Network Engineer
Karim Leroy,karim.leroy@company.com,0623144256,Production       ,Production Technician I
Karim Leroy,karim.leroy@company.com,0638992821,Production       ,Production Technician II
Sophie Benali,sophie.benali@company.com,0685234721,Production       ,Production Technician II
Yanis Durand,yanis.durand@company.com,0619069236,Sales,Area Sales Manager
Yanis Leroy,yanis.leroy@company.com,0665820514,Production       ,Production Technician II
Karim Durand,karim.durand@company.com,0613853138,Production       ,Production Technician I
Yanis Durand,yanis.durand@company.com,0621526036,Production       ,Production Technician II
Karim Dupont,karim.dupont@company.com,0626573098,Production       ,Production Technician I
Karim Leroy,karim.leroy@company.com,0679169593,Production       ,Production Technician I
Yanis Leroy,yanis.leroy@company.com,0619303096,IT/IS,Data Analyst
Lucas Dupont,lucas.dupont@company.com,0607622588,IT/IS,Data Architect
Nina Dupont,nina.dupont@company.com,0643306929,Executive Office,President & CEO
Karim Durand,karim.durand@company.com,0693158895,Production       ,Production Manager
Karim Leroy,karim.leroy@company.com,0677787464,Production       ,Production Technician II
Karim Leroy,karim.leroy@company.com,0680876192,Production       ,Production Manager
Yanis Martin,yanis.martin@company.com,0623833440,Production       ,Production Technician I
Karim Leroy,karim.leroy@company.com,0682464106,Production       ,Production Technician I
Karim Martin,karim.martin@company.com,0602334711,Production       ,Production Technician I
Sophie Martin,sophie.martin@company.com,0689656638,Production       ,Production Technician I
Nina Durand,nina.durand@company.com,0624198867,Admin Offices,Accountant I
Karim Dupont,karim.dupont@company.com,0631228342,Production       ,Production Manager
Nina Dupont,nina.dupont@company.com,0680233766,Production       ,Production Technician I
Nina Leroy,nina.leroy@company.com,0698825845,Sales,Area Sales Manager
Yanis Durand,yanis.durand@company.com,0692853818,IT/IS,Sr. Network Engineer
Nina Leroy,nina.leroy@company.com,0660781247,Sales,Area Sales Manager
Karim Durand,karim.durand@company.com,0630572257,Production       ,Production Technician II
Nina Benali,nina.benali@company.com,0650964293,Software Engineering,Software Engineer
Sophie Dupont,sophie.dupont@company.com,0679149165,Production       ,Production Technician I
Sophie Durand,sophie.durand@company.com,0611106229,IT/IS,Data Analyst
Nina Benali,nina.benali@company.com,0671718189,Sales,Sales Manager
Yanis Martin,yanis.martin@company.com,0659680356,Production       ,Production Technician I
Nina Martin,nina.martin@company.com,0681024609,Admin Offices,Sr. Network Engineer
Lucas Leroy,lucas.leroy@company.com,0628929973,Production       ,Production Technician I
Emma Leroy,emma.leroy@company.com,0651267548,IT/IS,IT Support
Karim Durand,karim.durand@company.com,0630746982,Production       ,Production Technician II
Lucas Dupont,lucas.dupont@company.com,0626181798,Sales,Area Sales Manager
Emma Durand,emma.durand@company.com,0607236528,Production       ,Production Technician I
Yanis Dupont,yanis.dupont@company.com,0608330327,Production       ,Production Manager
Lucas Benali,lucas.benali@company.com,0630853679,Production       ,Production Technician I
Emma Martin,emma.martin@company.com,0643990528,Production       ,Production Manager
Karim Martin,karim.martin@company.com,0695970956,Sales,Area Sales Manager
Lucas Dupont,lucas.dupont@company.com,0696089424,Sales,Director of Sales
Lucas Martin,lucas.martin@company.com,0607647225,Sales,Area Sales Manager
Karim Leroy,karim.leroy@company.com,0650279258,Production       ,Production Technician II
Nina Martin,nina.martin@company.com,0640176830,Production       ,Production Technician II
Yanis Leroy,yanis.leroy@company.com,0668720903,Sales,Area Sales Manager
Nina Leroy,nina.leroy@company.com,0676489841,Production       ,Production Technician I
Emma Dupont,emma.dupont@company.com,0648234137,Production       ,Production Technician II
Nina Leroy,nina.leroy@company.com,0689409595,Production       ,Production Technician I
Karim Dupont,karim.dupont@company.com,0637837016,IT/IS,Sales Manager
Karim Benali,karim.benali@company.com,0651180763,Sales,Area Sales Manager
Sophie Martin,sophie.martin@company.com,0600806928,Production       ,Production Technician I
Yanis Benali,yanis.benali@company.com,0681910333,Production       ,Production Technician II
Nina Leroy,nina.leroy@company.com,0602700728,Production       ,Production Technician I
Sophie Benali,sophie.benali@company.com,0657939903,Production       ,Production Technician II
Nina Martin,nina.martin@company.com,0686261609,IT/IS,Data Analyst
Yanis Leroy,yanis.leroy@company.com,0615189033,Production       ,Production Technician II
Lucas Durand,lucas.durand@company.com,0677045177,Production       ,Production Technician I
Emma Martin,emma.martin@company.com,0634573780,IT/IS,IT Support
Yanis Leroy,yanis.leroy@company.com,0601025201,IT/IS,Sr. Network Engineer
Lucas Benali,lucas.benali@company.com,0647850846,Software Engineering,Software Engineer
Nina Martin,nina.martin@company.com,0606901401,Production       ,Production Technician I
Emma Dupont,emma.dupont@company.com,0697359782,Production       ,Production Technician I
Lucas Dupont,lucas.dupont@company.com,0611673279,Production       ,Production Technician I
Lucas Leroy,lucas.leroy@company.com,0624673828,Production       ,Production Technician I
Sophie Leroy,sophie.leroy@company.com,0678235649,Production       ,Production Technician I
Sophie Benali,sophie.benali@company.com,0616030724,Production       ,Production Technician II
Karim Martin,karim.martin@company.com,0632806635,Production       ,Production Technician II
Sophie Benali,sophie.benali@company.com,0673391466,Production       ,Production Technician I
Lucas Leroy,lucas.leroy@company.com,0673772779,Software Engineering,Shared Services Manager
Nina Martin,nina.martin@company.com,0643210430,Production       ,Production Technician I
Sophie Dupont,sophie.dupont@company.com,0649645515,Production       ,Production Technician I
Nina Benali,nina.benali@company.com,0672025848,Production       ,Production Technician II
Yanis Durand,yanis.durand@company.com,0654492963,Production       ,Production Technician I
Lucas Benali,lucas.benali@company.com,0636154262,Sales,Area Sales Manager
Nina Durand,nina.durand@company.com,0634018475,Production       ,Production Technician I
Emma Benali,emma.benali@company.com,0673824672,IT/IS,Data Analyst
Yanis Leroy,yanis.leroy@company.com,0608608174,Production       ,Production Technician I
Yanis Martin,yanis.martin@company.com,0654552843,Sales,Administrative Assistant
Emma Benali,emma.benali@company.com,0651696398,Production       ,Production Technician II
Karim Martin,karim.martin@company.com,0684123910,IT/IS,Network Engineer
Yanis Durand,yanis.durand@company.com,0635106823,Production       ,Production Technician I
Nina Dupont,nina.dupont@company.com,0628733109,IT/IS,IT Support
Karim Leroy,karim.leroy@company.com,0671821345,Production       ,Production Technician I
Karim Leroy,karim.leroy@company.com,0612155668,IT/IS,Network Engineer
Karim Martin,karim.martin@company.com,0605178195,Sales,Area Sales Manager
Sophie Benali,sophie.benali@company.com,0637909420,Production       ,Production Technician I
Yanis Martin,yanis.martin@company.com,0601643461,Production       ,Production Technician I
Karim Dupont,karim.dupont@company.com,0648304220,Production       ,Production Technician I
Sophie Martin,sophie.martin@company.com,0612050448,IT/IS,IT Support
Nina Benali,nina.benali@company.com,0620887031,Production       ,Production Technician I
Sophie Dupont,sophie.dupont@company.com,0606087856,Production       ,Production Technician II
Yanis Dupont,yanis.dupont@company.com,0687060288,IT/IS,Principal Data Architect
Emma Leroy,emma.leroy@company.com,0657772942,Production       ,Production Technician I
Yanis Benali,yanis.benali@company.com,0652463366,Software Engineering,Software Engineer
Yanis Leroy,yanis.leroy@company.com,0697885542,Admin Offices,Administrative Assistant
Sophie Benali,sophie.benali@company.com,0623629786,Software Engineering,Software Engineer
Sophie Benali,sophie.benali@company.com,0655792538,Software Engineering,Software Engineer
